"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"111","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","UV disinfectionb (for membrane filtration)","=80 mJ/cm2 (design dose under maximum daily flow)

			=65% (transmittance at 254 nm)","Not specified","Hawai'i"
"112","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","UV disinfectionb (for reverse osmosis)","=50 mJ/cm2 (design dose under maximum daily flow)

			=90% (transmittance at 254 nm)","Not specified","Hawai'i"
"113","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","F-specific bacteriophage MS2","99.999% removal (PFU)","Not specified","Hawai'i"
"114","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Polio virus","99.999% removal","Not specified","Hawai'i"
"115","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Another virus at least as resistant to disinfection as the polio virus","99.999% removal","Not specified","Hawai'i"
"116","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Fecal coliforms","=2.2 per 100 mL (7-day median)

			=23 per 100 mL (30-day single sample maximum)

			=200 per 100 mL (single sample maximum)","Daily; may be reduced to weekly under certain conditions","Hawai'i"
"117","R-2 recycled water (Surface drip or subsurface drip irrigation for sod farms and ornamental plants for commercial use)","Municipal wastewater","BOD5","=10 mg/L (recommended target)

			=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"118","R-2 recycled water (Surface drip or subsurface drip irrigation for sod farms and ornamental plants for commercial use)","Municipal wastewater","TSS","=10 mg/L (recommended target)

			=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"119","R-2 recycled water (Surface drip or subsurface drip irrigation for sod farms and ornamental plants for commercial use)","Municipal wastewater","Chlorinea,c","=15 min (theoretical contact time)

			=10 min (actual modal contact time)

			0.5 mg/L (residual)

			2 mg/L (residual capacity)","Continuous monitoring","Hawai'i"
"120","R-2 recycled water (Surface drip or subsurface drip irrigation for sod farms and ornamental plants for commercial use)","Municipal wastewater","Fecal coliform density","=23 per 100 mL (7-day median)

			=200 per 100 mL (30-day single sample maximum)","Daily; may be reduced to weekly under certain conditions","Hawai'i"
"121","R-3 recycled water (Drip or subsurface drip irrigation in areas with limited public access for non-edible vegetation; fodder, fiber and seed crops not consumed by humans; and timber and trees not bearing food crops)","Municipal wastewater","BOD5","=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"122","R-3 recycled water (Drip or subsurface drip irrigation in areas with limited public access for non-edible vegetation; fodder, fiber and seed crops not consumed by humans; and timber and trees not bearing food crops)","Municipal wastewater","TSS","=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"123","R-3 recycled water (Drip or subsurface drip irrigation in areas with limited public access for non-edible vegetation; fodder, fiber and seed crops not consumed by humans; and timber and trees not bearing food crops)","Municipal wastewater","Nitrogen","Not specified","","Hawai'i"
"124","R-3 recycled water (Drip or subsurface drip irrigation in areas with limited public access for non-edible vegetation; fodder, fiber and seed crops not consumed by humans; and timber and trees not bearing food crops)","Municipal wastewater","Phosphorus","Not specified","","Hawai'i"
"125","Class C (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that both produce and do not produce milk for human consumption; Irrigation of orchards and vineyards during the fruiting season, if no fruit harvested for raw use comes in contact with the irrigation water or ground or will only contact the inedible portion of raw food crops; and other uses approved on a case-by-case basis)","Municipal wastewater","Total coliform","=23 MPN/100 mL (5-day median)

			=230 MPN/100 mL (single sample maximum)","Once weekly or as determined","Idaho"
"126","Class C (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that both produce and do not produce milk for human consumption; Irrigation of orchards and vineyards during the fruiting season, if no fruit harvested for raw use comes in contact with the irrigation water or ground or will only contact the inedible portion of raw food crops; and other uses approved on a case-by-case basis)","Municipal wastewater","Nitrogena","Not specified","Not specified","Idaho"
"127","Class C (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that both produce and do not produce milk for human consumption; Irrigation of orchards and vineyards during the fruiting season, if no fruit harvested for raw use comes in contact with the irrigation water or ground or will only contact the inedible portion of raw food crops; and other uses approved on a case-by-case basis)","Municipal wastewater","Phosphorusb","Not specified","Not specified","Idaho"
"128","Class D (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that do not produce milk for human consumption; and other uses approved on a case-by-case basis)","Municipal wastewater","Total coliform","=230 MPN/100 mL (3-day median)

			=2,300 MPN/100 mL (single sample maximum)","Once monthly or as determined","Idaho"
"129","Class D (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that do not produce milk for human consumption; and other uses approved on a case-by-case basis)","Municipal wastewater","Nitrogena","Not specified","Not specified","Idaho"
"130","Class D (Irrigation of fodder and fiber crops, commercial timber and firewood, processed food crops or “food crops that must undergo commercial pathogen-destroying processing before being consumed by humans”, ornamental nursery stock or Christmas trees and sod and seed crops not for human consumption; Irrigation of pasture for animals that do not produce milk for human consumption; and other uses approved on a case-by-case basis)","Municipal wastewater","Phosphorusb","Not specified","Not specified","Idaho"
"131","Class E (Irrigation of fodder and fiber crops and commercial timber and firewood; and other uses approved on a case-by-case basis)","Municipal wastewater","Total coliform","No limit","No required sampling and analysis; “In cases where sampling and analysis are required (e.g. buffer distance change reduction) the sampling frequency for total coliform will be established consistent with these rules in order to adequately protect human health and the environment”","Idaho"
"132","Class E (Irrigation of fodder and fiber crops and commercial timber and firewood; and other uses approved on a case-by-case basis)","Municipal wastewater","Nitrogena","Not specified","Not specified","Idaho"
"133","Class E (Irrigation of fodder and fiber crops and commercial timber and firewood; and other uses approved on a case-by-case basis)","Municipal wastewater","Phosphorusb","Not specified","Not specified","Idaho"
"134","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Biochemical oxygen demand (BOD)","=10 mg/L","Weekly monitoring (at a minimum) using the 5-day BOD test","Indiana"
"135","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Total suspended solids (TSS)","=5 mg/L (averaged over a 24-hour period prior to disinfection)","For domestic wastewater, daily monitoring.","Indiana"
"136","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","pH","6–9","Weekly monitoring (at a minimum)","Indiana"
"137","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Fecal coliform","0 organisms/100 mL (if using the median) 

			=14 organisms/100 mL (single sample maximum)","Daily monitoring required; Analysis must be completed using either membrane filter technique or fermentation tube technique.","Indiana"
"138","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Total chlorine residual","=1 mg/L (after a minimum contact time of 30 minutes)","For domestic wastewater, residual chlorine must be monitored daily.

			

			Note: this specification is only required if chlorine is used for disinfection.","Indiana"
"139","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Arsenic","0.07 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"140","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Cadmium","0.06 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"141","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Copper","2.57 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"142","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Lead","0.51 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"143","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Mercury","0.02 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"144","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Molybdenum","0.06 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"145","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Nickel","0.72 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"146","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Selenium","0.17 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"147","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Zinc","4.80 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"148","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Total Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"149","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Ammonia Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"150","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Nitrate Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"151","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Total Phosphorus","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"152","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Potassium","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"153","Agricultural irrigation on land with a high potential for public exposure (Application on agricultural land used for growing food crops (defined as crops grown for human consumption or feed crops for animals whose products are consumed by humans; these crops include fruits, vegetables, grains and tobacco) and that is open to the public for any period of time, tree farms, plant nurseries and turf farms)","Domestic wastewater, Industrial storm water, Industrial process wastewater","Polychlorinated biphenyls","Specific value not provided","Annual monitoring (at a minimum)","Indiana"
"154","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Biochemical oxygen demand (BOD)","=30 mg/L","Weekly monitoring (at a minimum) using the 5-day BOD test","Indiana"
"155","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Total suspended solids (TSS)","=30 mg/L","Weekly monitoring (at a minimum)","Indiana"
"156","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","pH","6–9","Weekly monitoring (at a minimum)","Indiana"
"157","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Fecal coliform","=200 organisms/100 mL (if using the median)

			=800 organisms/100 mL (single sample maximum)","Daily monitoring required; Analysis must be completed using either membrane filter technique or fermentation tube technique.","Indiana"
"158","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Total chlorine residual","=1 mg/L (after a minimum contact time of 30 minutes)","For domestic wastewater, residual chlorine must be monitored daily.

			

			Note: this specification is only required if chlorine is used for disinfection.","Indiana"
"159","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Total Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"160","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Ammonia Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"161","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Nitrate Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"162","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Total Phosphorus","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"163","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Potassium","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"164","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Domestic wastewater","Polychlorinated biphenyls","<2 mg/kg (dry weight)","Annual monitoring (at a minimum)","Indiana"
"165","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","pH","6–9","Weekly monitoring (at a minimum)","Indiana"
"166","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","BOD","Specific value not provided","Weekly monitoring (at a minimum) using the 5-day BOD test","Indiana"
"167","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Volatile solids","Specific value not provided","Weekly monitoring (at a minimum) according to methodology provided in APHA 1992.","Indiana"
"168","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Arsenic","0.07 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"169","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Cadmium","0.06 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"170","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Copper","2.57 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"171","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Lead","0.51 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"172","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Mercury","0.02 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"173","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Molybdenum","0.06 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"174","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Nickel","0.72 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"175","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Selenium","0.17 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"176","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Zinc","4.80 mg/L (not to exceed)","Annual monitoring (at a minimum)","Indiana"
"177","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Total Nitrogen","Specific value not provided","Annual monitoring (at a minimum)","Indiana"
"178","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Ammonia Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"179","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Nitrate Nitrogen","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"180","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Phosphorus","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"181","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Potassium","Specific value not provided","Monthly monitoring (at a minimum)","Indiana"
"182","Agricultural irrigation on land with a low potential for public exposure (Application on agricultural land used for growing food crops; Application to agricultural land used for production of a feed crop, fiber crop, trees for harvest and pasture for animals)","Industrial storm water, Industrial process wastewater","Polychlorinated biphenyls","<2 mg/kg (dry weight)","Annual monitoring (at a minimum)","Indiana"
"183","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","5 day - Biochemical Oxygen Demand (BOD)","70 mg/L (monthly average)","Not specified","Maryland"
"184","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Suspended solids","90 mg/L (monthly average)","Not specified","Maryland"
"185","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Fecal coliforma","200 MPN/100 mL (monthly geometric mean)","Not specified","Maryland"
"186","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","pH","6.5–8.5","Not specified","Maryland"
"187","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Nitrogen","Not specified","Not specified","Maryland"
"188","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Phosphorus","Not specified","Not specified","Maryland"
"189","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","5 day - Biochemical Oxygen Demand (BOD)","70 mg/L (monthly average)","Not specified","Massachusetts"
"190","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Suspended solids","90 mg/L (monthly average)","Not specified","Massachusetts"
"191","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Fecal coliforma","200 MPN/100 mL (monthly geometric mean)","Not specified","Massachusetts"
"192","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","pH","6.5–8.5","Not specified","Massachusetts"
"193","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Nitrogen","Not specified","Not specified","Massachusetts"
"194","Class I (Irrigation of commercially processed food crops and non-food crops, fiber and seed crops, forested land, pasture for foraging livestock, sod farms, ornamental nurseries, turf and silviculture)","Municipal wastewater","Phosphorus","Not specified","Not specified","Massachusetts"
"195","Disinfected Tertiary (Irrigation of food crops where the recycled water contacts the edible portion of the crop, including root crops)","Municipal Wastewater","Total coliform","2.2 MPN/100 mL (7-day median)","At least once daily","Minnesota"
"196","Disinfected Tertiary (Irrigation of food crops where the recycled water contacts the edible portion of the crop, including root crops)","Municipal Wastewater","Turbidity","=2 NTU (filter effluent turbidity)

			=10 NTU (single sample maximum)","Continuous monitoring","Minnesota"
"197","Disinfected Tertiary (Irrigation of food crops where the recycled water contacts the edible portion of the crop, including root crops)","Municipal Wastewater","Nitrogen","Limits for nitrogen and phosphorus are set based on agronomic needs for the site and specific crop irrigated.","Not specified","Minnesota"
"198","Disinfected Tertiary (Irrigation of food crops where the recycled water contacts the edible portion of the crop, including root crops)","Municipal Wastewater","Phosphorus","Limits for nitrogen and phosphorus are set based on agronomic needs for the site and specific crop irrigated.","Not specified","Minnesota"
"199","Disinfected Secondary 23 (Irrigation of ornamental nursery stock, sod farms with restricted access, pasture for dairy animals producing milk for human consumption)","Municipal Wastewater","Total coliform","23 MPN/100 mL (does not exceed in more than one sample in 30-day period)","At least once daily","Minnesota"
"200","Disinfected Secondary 23 (Irrigation of ornamental nursery stock, sod farms with restricted access, pasture for dairy animals producing milk for human consumption)","Municipal Wastewater","Nitrogen","Not specified","Not specified","Minnesota"
"201","Disinfected Secondary 23 (Irrigation of ornamental nursery stock, sod farms with restricted access, pasture for dairy animals producing milk for human consumption)","Municipal Wastewater","Phosphorus","Not specified","Not specified","Minnesota"
